,gene,targetable_epi_silencing_100/200_prom
0,CAPN5,0
1,FLT4,0
2,HEPACAM,0
3,KDR,1
4,CSRP3,0
5,ATP13A3,0
6,RIT1,1
7,SLC5A7,0
8,AARS1,0
9,POLD1,0
10,CHMP2B,0
11,TSPAN12,1
12,TUBB4B,1
13,POFUT1,1
14,TEK,0
15,RAC2,0
16,CNNM2,0
17,GP1BA,0
18,GANAB,0
19,CASR,0
20,GABRD,0
21,CACNA1C,0
22,GDAP1,0
23,ACD,0
24,MRAS,1
25,DCTN1,1
26,RPS10,1
27,SCN1B,0
28,CD2AP,0
29,SPEN,0
30,CBL,1
31,GFAP,0
32,ALDH18A1,0
33,MESP1,1
34,CHRNA4,1
35,MET,1
36,FGA,1
37,MED13,0
38,HBB,1
39,FGFR3,0
40,RDH12,1
41,TNNI3,0
42,ZMIZ1,0
43,PDX1,0
44,GMNN,1
45,CFB,0
46,CD46,0
47,CLCN6,0
48,FBLN5,1
49,KCNK3,1
50,VCAN,0
51,CSNK2B,0
52,INS,1
53,SLC30A2,1
54,WNT5A,0
55,SKI,1
56,AGO2,0
57,TUBB2A,1
58,TERT,0
59,ALPL,0
60,SFTPA1,0
61,TRAF3,1
62,ZBTB20,0
63,COMP,0
64,CHCHD10,0
65,SOCS1,1
66,NEFL,1
67,HCN4,0
68,MTAP,0
69,GUCY2D,0
70,PMP2,0
71,P2RX2,1
72,MYOC,1
73,PRPH2,0
74,MAP2K1,0
75,PLAU,0
76,JPH2,1
77,TRAF7,1
78,COL6A1,1
79,UCHL1,1
80,UMOD,1
81,PROKR2,1
82,HNRNPDL,0
83,TGFBR2,1
84,IKZF2,0
85,GNAO1,0
86,KDM4B,1
87,GGCX,0
88,NPRL2,0
89,STAT1,0
90,RYR1,0
91,CHRNB2,1
92,KCNH5,0
93,TRPM7,0
94,GARS1,1
95,COL6A2,1
96,EEF1A2,1
97,MAGEL2,0
98,ISL1,0
99,KLHL20,0
100,NFKBIA,0
101,OSBPL2,1
102,SNRNP200,1
103,GSDME,1
104,ARF1,0
105,EPHB4,1
106,DNAJB11,1
107,ADAR,1
108,MYH7,0
109,TUBA4A,1
110,MYH10,0
111,TBK1,0
112,CAV3,1
113,FOXJ1,0
114,PSMD12,1
115,TNFRSF1A,0
116,RBM20,0
117,SSBP1,0
118,SPI1,0
119,MSX2,0
120,MAB21L2,1
121,PROK2,0
122,MYH2,0
123,TUBA1A,1
124,RPL5,0
125,MFN2,1
126,TPM2,1
127,CACNA1S,0
128,SFTPA2,0
129,MYH11,1
130,ASXL2,1
131,PPP1R12A,1
132,PIK3R2,0
133,SNCA,0
134,KIF1A,0
135,SCNN1G,1
136,DES,1
137,PRPF31,1
138,SPTLC2,0
139,ELOVL4,1
140,SEC61A1,1
141,NARS1,1
142,STX1B,1
143,STIM1,1
144,GDF2,0
145,RYR2,1
146,CDC42,1
147,ZSWIM6,0
148,PLN,0
149,GRIN2D,0
150,PRPF4,1
151,HRAS,1
152,MYH9,0
153,KIDINS220,1
154,IRF4,0
155,SOX17,1
156,HRG,0
157,MTOR,1
158,SMAD9,0
159,DNAJB6,0
160,PIK3CD,1
161,ACTA1,1
162,RFX6,1
163,ANO5,1
164,PPP1CB,0
165,RAC1,1
166,F12,1
167,HTT,1
168,ACTG1,1
169,SAMD9L,0
170,SMARCC2,0
171,TNPO3,1
172,AFG3L2,1
173,SLC17A8,1
174,SERPINC1,0
175,EGFR,1
176,VAPB,0
177,RHO,1
178,SHOC2,0
179,PRSS1,0
180,CTLA4,0
181,LITAF,1
182,GNAT1,0
183,BEST1,0
184,CALM1,1
185,KCNQ4,0
186,MAP1B,1
187,TMEM43,0
188,MAPK8IP3,1
189,MIR96,0
190,PPOX,1
191,CARD11,0
192,ALPK3,0
193,TRPV4,0
194,COL11A2,0
195,SUFU,1
196,HNRNPR,1
197,CLCN7,1
198,P2RY12,0
199,SCN8A,0
200,ACTC1,0
201,LRP12,1
202,EZH2,0
203,PACS1,1
204,GREM1,0
205,F5,0
206,KBTBD13,0
207,NEK1,1
208,ELP4,0
209,HAND1,1
210,KLF13,0
211,NEK8,0
212,GNB1,0
213,CD164,1
214,ITGB3,1
215,IRF2BPL,0
216,ITPR1,0
217,H4C5,0
218,TUBB4A,1
219,VCL,0
220,TRIM8,1
221,GNAI1,1
222,ATL3,1
