Dataset,Sample_ID,Cell_Type,Replicate,QC_Min_Genes,Cells_Passing_QC,Median_Genes_Per_Cell,Gene_Symbol,Detection_Rate_%,Mean_Log1pCPM_percell_All,Mean_Log1pCPM_percell_Only_Detected,Aggregated_CPM,Gene_Found
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,0,1993,4426.0,AARS1,0.0,0.0,0.0,0.0,False
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,0,1993,4426.0,ABCB6,0.75,0.02539999969303608,3.36899995803833,0.2904999852180481,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,0,1993,4426.0,ABCC6,9.38,0.3359000086784363,3.5801000595092773,4.047699928283691,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,0,1993,4426.0,ABCC8,0.0,0.0,0.0,0.0,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,0,1993,4426.0,ABCC9,1.0,0.03799999877810478,3.7871999740600586,0.4453999996185303,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,0,1993,4426.0,ACAN,8.63,0.31299999356269836,3.6266000270843506,3.8733999729156494,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,0,1993,4426.0,ACD,26.69,0.9704999923706055,3.635699987411499,13.169599533081055,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,0,1993,4426.0,ACO2,73.56,3.3958001136779785,4.616499900817871,101.79309844970703,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,0,1993,4426.0,ACOX1,29.9,1.0993000268936157,3.6761999130249023,14.893199920654297,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,0,1993,4426.0,ACTA1,1.91,0.08990000188350677,4.7154998779296875,6.972099781036377,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,0,1993,4426.0,ACTA2,38.38,1.5925999879837036,4.14900016784668,40.8838005065918,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,0,1993,4426.0,ACTB,94.63,7.176000118255615,7.583099842071533,2957.84765625,True
