Gene_Symbol,Detection_Rate_%,Mean_CPM_percell_All,Mean_CPM_percell_Only_Detected,Aggregated_CPM,Cell_Type,Replicate,Dataset,Sample_ID,QC_Min_Genes,Cells_Passing_QC,Median_Genes_Per_Cell,Gene_Found
AARS1,0.0,0.0,0.0,0.0,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,False
ABCB6,0.77,0.026100000366568565,3.36899995803833,0.29100000858306885,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ABCC6,9.65,0.34549999237060547,3.5801000595092773,4.054200172424316,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ABCC8,0.0,0.0,0.0,0.0,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ABCC9,1.03,0.03909999877214432,3.7871999740600586,0.44620001316070557,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ACAN,8.88,0.32190001010894775,3.6266000270843506,3.8796000480651855,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ACD,27.45,0.9980000257492065,3.635699987411499,13.190699577331543,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ACO2,75.64,3.4921000003814697,4.616499900817871,101.9561996459961,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ACOX1,30.75,1.1304999589920044,3.6761999130249023,14.917099952697754,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ACTA1,1.96,0.0925000011920929,4.7154998779296875,6.98330020904541,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
