Gene_Symbol,Raw_Detection_Rate_%,Raw_Mean_Expr_All,Raw_Mean_Expr_Detected,Raw_Aggregated_CPM,LooseQC_Detection_Rate_%,LooseQC_Mean_Expr_All,LooseQC_Mean_Expr_Detected,LooseQC_Aggregated_CPM,StrongQC_Detection_Rate_%,StrongQC_Mean_Expr_All,StrongQC_Mean_Expr_Detected,StrongQC_Aggregated_CPM,Cell_Type,Cell_Line,Developmental_Stage,Replicate,Source_File,CMO_Assignment_Method
AARS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ABCB6,0.41,0.0025,0.6179,7.9817,12.61,0.0418,0.3317,7.9,22.12,0.0611,0.2764,7.9656,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ABCC6,0.09,0.0007,0.7302,1.756,2.73,0.0092,0.3375,1.6984,4.74,0.0118,0.2497,1.6821,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ABCC8,0.0,0.0,0.9398,0.0435,0.08,0.0003,0.4536,0.0384,0.11,0.0003,0.3005,0.0323,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ABCC9,0.1,0.0005,0.5211,2.039,3.31,0.0103,0.3121,2.0442,5.8,0.0156,0.2682,2.0541,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ACAN,0.04,0.0002,0.4373,0.6748,1.26,0.0027,0.2146,0.6686,2.3,0.0046,0.2003,0.6955,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ACD,0.48,0.0029,0.6005,10.1077,15.01,0.0493,0.3284,10.0672,26.75,0.0749,0.2801,10.3027,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ACO2,1.69,0.0225,1.3366,80.5424,45.74,0.3421,0.748,79.5614,77.63,0.5088,0.6554,80.8608,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ACOX1,0.88,0.0063,0.7179,22.5228,26.68,0.1098,0.4117,22.3553,47.15,0.1701,0.3607,22.805,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ACTA1,6.82,0.2398,3.5171,2172.5911,70.18,1.7133,2.4412,2194.9578,82.76,1.9418,2.3464,2278.6179,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ACTA2,5.0,0.1617,3.2366,1239.9103,69.21,1.6248,2.3476,1253.9542,92.09,2.1333,2.3165,1301.261,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ACTB,5.91,0.2019,3.4164,1885.6571,75.43,1.8229,2.4167,1920.7313,96.66,2.29,2.3691,1996.2562,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ACTC1,14.81,0.7263,4.9029,11280.2959,99.27,3.9043,3.9329,11277.4033,99.61,4.0089,4.0247,11654.1182,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ACTG1,4.19,0.1299,3.0973,1161.2255,63.7,1.2628,1.9824,1185.6819,87.97,1.621,1.8426,1232.9834,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ACTL6A,1.09,0.0083,0.7566,38.3774,33.82,0.1654,0.489,39.0698,60.53,0.272,0.4494,40.5072,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ACTN1,2.26,0.046,2.0322,281.5428,53.58,0.7102,1.3255,286.1535,87.92,1.0982,1.2491,295.7779,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ACTN2,3.66,0.1054,2.8812,522.7709,57.57,1.102,1.9141,516.2844,79.65,1.4223,1.7858,525.308,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ACVR1,0.39,0.0026,0.6537,7.8438,12.0,0.039,0.3249,7.6541,21.5,0.0619,0.2878,7.8524,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ADAR,1.4,0.0134,0.9589,57.1561,41.82,0.252,0.6025,57.7056,72.41,0.3886,0.5367,58.8159,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ADCY5,0.82,0.0089,1.087,28.0157,22.88,0.1333,0.5827,27.2966,38.21,0.1807,0.473,27.18,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
AFG3L2,1.9,0.0281,1.4849,117.142,50.35,0.4477,0.8893,116.9405,84.41,0.6761,0.8009,119.136,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
AGO2,1.44,0.0142,0.9818,63.0408,42.84,0.2668,0.6227,63.7844,73.79,0.4111,0.5572,64.9781,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
AICDA,0.0,0.0,0.3824,0.058,0.12,0.0005,0.3824,0.0615,0.2,0.0007,0.3569,0.0566,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
AKT3,1.05,0.0081,0.7652,34.6332,32.38,0.1548,0.4781,35.0276,56.99,0.2436,0.4274,35.9624,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ALB,0.03,0.0003,0.9081,1.1682,0.85,0.0033,0.3927,1.1604,1.54,0.006,0.3911,1.213,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ALDH18A1,0.69,0.0044,0.6431,18.3579,21.24,0.0798,0.3755,18.4744,37.9,0.1301,0.3432,19.0042,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ALG5,1.0,0.0074,0.7399,29.6411,30.79,0.1389,0.451,29.8711,54.86,0.2215,0.4038,30.8191,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ALG8,0.91,0.0056,0.6134,24.4312,28.83,0.1153,0.3999,24.8605,50.74,0.1805,0.3558,25.3362,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ALG9,0.62,0.0039,0.6261,13.4455,19.2,0.0695,0.3623,13.3947,33.95,0.1038,0.3057,13.6426,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ALK,0.0,0.0,0.3538,0.0218,0.05,0.0002,0.3538,0.0231,0.08,0.0003,0.3538,0.0243,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ALPK3,1.7,0.0251,1.4738,95.4101,45.2,0.3964,0.8768,94.616,72.36,0.5397,0.7458,93.8322,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ALPL,0.05,0.0002,0.4713,0.9796,1.46,0.0034,0.2364,0.9913,2.66,0.0061,0.2301,1.0351,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ANK1,0.04,0.0003,0.7629,0.8127,1.32,0.0043,0.3255,0.7685,2.24,0.0057,0.2526,0.744,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ANKRD26,1.22,0.0111,0.9086,43.0938,36.69,0.2056,0.5603,43.3734,62.13,0.2956,0.4758,43.4266,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ANO5,0.39,0.0022,0.5758,8.1268,12.08,0.0401,0.332,8.1229,21.25,0.0609,0.2866,8.2405,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ANXA11,1.59,0.0188,1.1804,68.7948,44.51,0.2978,0.6692,68.0571,76.48,0.448,0.5858,69.7251,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
