Gene_Symbol,Raw_Detection_Rate_%,Raw_Mean_Expr_All,Raw_Mean_Expr_Detected,Raw_Aggregated_CPM,LooseQC_Detection_Rate_%,LooseQC_Mean_Expr_All,LooseQC_Mean_Expr_Detected,LooseQC_Aggregated_CPM,StrongQC_Detection_Rate_%,StrongQC_Mean_Expr_All,StrongQC_Mean_Expr_Detected,StrongQC_Aggregated_CPM,Cell_Type,Replicate,Source_File
AARS1,0.44,0.0071,1.623,33.6512,19.23,0.1624,0.8445,33.0962,25.35,0.1987,0.7838,33.057,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ABCB6,0.02,0.0003,1.5545,1.0755,0.75,0.006,0.8063,1.0456,0.96,0.0067,0.702,1.0169,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ABCC6,0.01,0.0001,1.002,0.7524,0.61,0.0041,0.6764,0.8451,0.83,0.0056,0.6764,0.8668,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ABCC8,0.13,0.0015,1.0985,9.4543,7.14,0.056,0.7846,10.8731,9.48,0.0701,0.7392,10.9079,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ABCC9,0.11,0.0011,0.9952,7.7411,6.3,0.0505,0.8016,9.3345,8.35,0.0631,0.7556,9.3464,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACAN,0.01,0.0001,1.0078,0.5654,0.49,0.0041,0.8274,0.6826,0.66,0.0053,0.7961,0.689,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACD,0.4,0.0061,1.5166,30.5862,18.05,0.1428,0.7909,30.3603,23.93,0.177,0.7396,30.4731,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACO2,1.01,0.0178,1.7624,102.178,43.71,0.455,1.0408,106.6727,57.4,0.5621,0.9794,107.2004,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACOX1,0.35,0.0052,1.4777,26.1822,16.1,0.1309,0.8132,26.1183,21.32,0.1624,0.7615,26.1666,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACTA1,0.01,0.0001,1.305,0.6589,0.44,0.0028,0.6289,0.6393,0.6,0.0038,0.6289,0.6557,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACTA2,0.25,0.0027,1.0404,18.7896,14.43,0.1245,0.8629,22.8569,19.11,0.1553,0.8126,22.8493,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACTB,8.17,0.3291,4.03,3618.4895,94.75,3.3335,3.5181,3709.9253,98.94,3.5077,3.5454,3732.1497,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACTC1,0,0,1.6244,0.0298,0.02,0.0003,1.3093,0.0325,0.02,0.0002,1.0156,0.0278,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACTG1,8.06,0.3188,3.9535,3046.8562,94.21,3.171,3.366,2992.9155,98.63,3.3064,3.3523,2998.978,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACTL6A,0.4,0.0061,1.5295,30.3907,17.48,0.1405,0.8036,29.7644,23.17,0.174,0.7513,29.8174,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACTN1,0.29,0.0041,1.3913,22.0842,13.99,0.1143,0.8167,23.079,18.42,0.1387,0.7531,22.9937,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACTN2,0.06,0.0007,1.1438,4.1065,3.23,0.0259,0.8013,4.67,4.27,0.0318,0.7463,4.6565,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACVR1,0.18,0.0028,1.5248,12.5533,8.09,0.0645,0.7972,12.0271,10.65,0.0781,0.7328,11.9581,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ADAR,1.13,0.0209,1.8454,115.7728,47.97,0.5315,1.108,118.8299,62.37,0.6429,1.0307,118.5584,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ADCY5,0.24,0.0027,1.1505,17.6291,12.29,0.0931,0.7576,19.8447,16.38,0.1173,0.7161,19.982,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
