Gene_Symbol,Raw_Detection_Rate_%,Raw_Mean_Expr_All,Raw_Mean_Expr_Detected,Raw_Aggregated_CPM,LooseQC_Detection_Rate_%,LooseQC_Mean_Expr_All,LooseQC_Mean_Expr_Detected,LooseQC_Aggregated_CPM,StrongQC_Detection_Rate_%,StrongQC_Mean_Expr_All,StrongQC_Mean_Expr_Detected,StrongQC_Aggregated_CPM,Cell_Type,Replicate
AARS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iPSC,Rep 1
ABCB6,0.0,0.0,1.0627,0.0689,0.04,0.0002,0.4565,0.0608,0.11,0.0004,0.3161,0.0623,iPSC,Rep 1
ABCC6,0.04,0.0002,0.613,0.9229,0.55,0.0024,0.4372,0.9443,1.73,0.0061,0.3519,0.9831,iPSC,Rep 1
ABCC8,0.01,0.0001,0.865,0.2847,0.17,0.001,0.5799,0.2849,0.5,0.002,0.4064,0.2839,iPSC,Rep 1
ABCC9,0.0,0.0,1.1224,0.0509,0.03,0.0002,0.7442,0.048,0.08,0.0002,0.3107,0.0415,iPSC,Rep 1
ACAN,0.02,0.0001,0.7486,0.4195,0.26,0.0013,0.4966,0.4257,0.78,0.0028,0.3533,0.4258,iPSC,Rep 1
ACD,1.0,0.0097,0.9707,32.2926,13.22,0.0944,0.7143,32.704,39.18,0.1973,0.5037,33.1155,iPSC,Rep 1
ACO2,1.35,0.0175,1.297,45.3031,16.98,0.155,0.9129,44.5667,46.83,0.2755,0.5882,43.2031,iPSC,Rep 1
ACOX1,0.45,0.0045,0.9919,11.6052,5.87,0.038,0.6474,11.4242,17.48,0.0787,0.4505,11.4066,iPSC,Rep 1
ACTA1,0.04,0.0004,1.0428,1.1057,0.48,0.0032,0.6621,1.0851,1.44,0.0064,0.4452,1.0939,iPSC,Rep 1
ACTA2,0.03,0.0003,1.1323,0.7731,0.38,0.0026,0.6701,0.733,1.13,0.0049,0.4341,0.727,iPSC,Rep 1
ACTB,13.72,0.5915,4.3112,3323.606,95.38,3.545,3.7165,3257.2715,99.84,3.5445,3.5501,3154.1555,iPSC,Rep 1
ACTC1,0.18,0.0014,0.7547,4.4677,2.43,0.0133,0.5465,4.5325,7.48,0.0305,0.4083,4.6492,iPSC,Rep 1
ACTG1,8.99,0.3278,3.6471,1570.2095,73.2,2.2149,3.0259,1562.3969,96.93,2.7042,2.7899,1562.1592,iPSC,Rep 1
ACTL6A,1.84,0.0291,1.5832,71.9144,22.23,0.2588,1.1643,70.1391,57.07,0.4084,0.7155,66.8886,iPSC,Rep 1
ACTN1,1.59,0.0207,1.3035,64.9507,20.23,0.1983,0.9798,65.3825,55.66,0.37,0.6647,64.5866,iPSC,Rep 1
ACTN2,0.06,0.0005,0.7346,1.4143,0.83,0.0038,0.4622,1.4116,2.59,0.0089,0.3431,1.454,iPSC,Rep 1
ACVR1,0.14,0.0011,0.7454,3.3021,1.93,0.0098,0.5063,3.3226,5.87,0.0207,0.3519,3.3441,iPSC,Rep 1
ADAR,1.21,0.0125,1.035,46.19,15.89,0.1159,0.7293,47.1339,47.48,0.2665,0.5613,48.3819,iPSC,Rep 1
ADCY5,0.6,0.005,0.8372,16.9418,8.0,0.048,0.5993,17.1667,24.25,0.1064,0.4388,17.5063,iPSC,Rep 1
AFG3L2,1.66,0.0228,1.3792,73.1909,20.84,0.2056,0.9863,73.5033,58.34,0.4091,0.7011,73.8053,iPSC,Rep 1
