Gene_Symbol,Raw_Detection_Rate_%,Raw_Mean_Expr_All,Raw_Mean_Expr_Detected,Raw_Aggregated_CPM,LooseQC_Detection_Rate_%,LooseQC_Mean_Expr_All,LooseQC_Mean_Expr_Detected,LooseQC_Aggregated_CPM,StrongQC_Detection_Rate_%,StrongQC_Mean_Expr_All,StrongQC_Mean_Expr_Detected,StrongQC_Aggregated_CPM,Cell_Type,Replicate
AARS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WT iPSC,Rep 1
ABCB6,31.57,0.0874,0.2768,11.9448,32.04,0.0887,0.2768,11.9574,43.85,0.1008,0.2298,11.8636,WT iPSC,Rep 1
ABCC6,3.31,0.007,0.212,0.8836,3.36,0.0071,0.212,0.8845,4.59,0.0069,0.1501,0.8664,WT iPSC,Rep 1
ABCC8,1.54,0.0053,0.3418,0.4336,1.57,0.0054,0.3418,0.4341,1.82,0.0039,0.2135,0.3603,WT iPSC,Rep 1
ABCC9,0.06,0.0003,0.5005,0.0164,0.06,0.0003,0.5005,0.0164,0.05,0.0001,0.1807,0.0086,WT iPSC,Rep 1
ACAN,1.29,0.0021,0.1607,0.3354,1.31,0.0021,0.1607,0.3358,1.87,0.0028,0.1511,0.3431,WT iPSC,Rep 1
ACD,42.72,0.1234,0.2888,19.3571,43.36,0.1252,0.2888,19.3775,61.68,0.1635,0.2652,19.9613,WT iPSC,Rep 1
ACO2,56.24,0.223,0.3965,36.7015,57.08,0.2263,0.3965,36.7403,78.94,0.2844,0.3603,37.5036,WT iPSC,Rep 1
ACOX1,28.67,0.0795,0.2772,10.2594,29.1,0.0807,0.2772,10.2703,40.06,0.0938,0.2341,10.208,WT iPSC,Rep 1
ACTA1,1.83,0.005,0.2733,0.6545,1.85,0.0051,0.2733,0.6552,2.53,0.0047,0.1864,0.6519,WT iPSC,Rep 1
ACTA2,1.58,0.0074,0.4669,0.5318,1.6,0.0075,0.4669,0.5323,2.11,0.0038,0.1822,0.4632,WT iPSC,Rep 1
ACTB,92.6,2.8042,3.0284,2629.0195,93.54,2.8377,3.0337,2631.6338,99.91,3.3493,3.3524,2723.0269,WT iPSC,Rep 1
ACTC1,19.03,0.0516,0.2711,7.3469,19.32,0.0524,0.2711,7.3546,27.52,0.0565,0.2053,7.077,WT iPSC,Rep 1
ACTG1,83.68,2.0229,2.4174,1240.1208,84.55,2.0457,2.4194,1241.3248,99.63,2.5962,2.606,1289.663,WT iPSC,Rep 1
ACTL6A,65.34,0.4211,0.6444,84.4397,66.33,0.4274,0.6444,84.5289,92.56,0.5803,0.6269,87.5828,WT iPSC,Rep 1
