 Cell_Line,Editing_Strategy,Gene,Matched_Variant_Count,VCF_Output
cN8-hNIL,CRISPRoff,AARS1,1,final_intersections_var/cN8-hNIL_AARS1_CRISPRoff_shared.vcf.gz
KOLF2-ARID2-A02,CRISPRoff,AARS1,0,NA
WTB_variants_PASS,CRISPRoff,AARS1,0,NA
WTC_variants_PASS,CRISPRoff,AARS1,0,NA
cN8-hNIL,indels,AARS1,1,final_intersections_var/cN8-hNIL_AARS1_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,AARS1,0,NA
WTB_variants_PASS,indels,AARS1,0,NA
WTC_variants_PASS,indels,AARS1,0,NA
cN8-hNIL,base_edits,AARS1,0,NA
KOLF2-ARID2-A02,base_edits,AARS1,0,NA
WTB_variants_PASS,base_edits,AARS1,0,NA
WTC_variants_PASS,base_edits,AARS1,0,NA
cN8-hNIL,CRISPRoff,ABCC8,0,NA
KOLF2-ARID2-A02,CRISPRoff,ABCC8,0,NA
WTB_variants_PASS,CRISPRoff,ABCC8,0,NA
WTC_variants_PASS,CRISPRoff,ABCC8,0,NA
cN8-hNIL,indels,ABCC8,1,final_intersections_var/cN8-hNIL_ABCC8_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,ABCC8,0,NA
WTB_variants_PASS,indels,ABCC8,1,final_intersections_var/WTB_variants_PASS_ABCC8_indels_shared.vcf.gz
WTC_variants_PASS,indels,ABCC8,0,NA
cN8-hNIL,base_edits,ABCC8,1,final_intersections_var/cN8-hNIL_ABCC8_base_edits_shared.vcf.gz
KOLF2-ARID2-A02,base_edits,ABCC8,0,NA
WTB_variants_PASS,base_edits,ABCC8,1,final_intersections_var/WTB_variants_PASS_ABCC8_base_edits_shared.vcf.gz
WTC_variants_PASS,base_edits,ABCC8,0,NA
cN8-hNIL,CRISPRoff,ACO2,0,NA
KOLF2-ARID2-A02,CRISPRoff,ACO2,0,NA
WTB_variants_PASS,CRISPRoff,ACO2,0,NA
WTC_variants_PASS,CRISPRoff,ACO2,0,NA
cN8-hNIL,indels,ACO2,2,final_intersections_var/cN8-hNIL_ACO2_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,ACO2,2,final_intersections_var/KOLF2-ARID2-A02_ACO2_indels_shared.vcf.gz
WTB_variants_PASS,indels,ACO2,0,NA
WTC_variants_PASS,indels,ACO2,2,final_intersections_var/WTC_variants_PASS_ACO2_indels_shared.vcf.gz
cN8-hNIL,base_edits,ACO2,2,final_intersections_var/cN8-hNIL_ACO2_base_edits_shared.vcf.gz
KOLF2-ARID2-A02,base_edits,ACO2,2,final_intersections_var/KOLF2-ARID2-A02_ACO2_base_edits_shared.vcf.gz
WTB_variants_PASS,base_edits,ACO2,0,NA
WTC_variants_PASS,base_edits,ACO2,2,final_intersections_var/WTC_variants_PASS_ACO2_base_edits_shared.vcf.gz
cN8-hNIL,CRISPRoff,ACTA1,4,final_intersections_var/cN8-hNIL_ACTA1_CRISPRoff_shared.vcf.gz
KOLF2-ARID2-A02,CRISPRoff,ACTA1,4,final_intersections_var/KOLF2-ARID2-A02_ACTA1_CRISPRoff_shared.vcf.gz
WTB_variants_PASS,CRISPRoff,ACTA1,4,final_intersections_var/WTB_variants_PASS_ACTA1_CRISPRoff_shared.vcf.gz
WTC_variants_PASS,CRISPRoff,ACTA1,4,final_intersections_var/WTC_variants_PASS_ACTA1_CRISPRoff_shared.vcf.gz
cN8-hNIL,indels,ACTA1,2,final_intersections_var/cN8-hNIL_ACTA1_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,ACTA1,2,final_intersections_var/KOLF2-ARID2-A02_ACTA1_indels_shared.vcf.gz
WTB_variants_PASS,indels,ACTA1,2,final_intersections_var/WTB_variants_PASS_ACTA1_indels_shared.vcf.gz
WTC_variants_PASS,indels,ACTA1,2,final_intersections_var/WTC_variants_PASS_ACTA1_indels_shared.vcf.gz
cN8-hNIL,base_edits,ACTA1,3,final_intersections_var/cN8-hNIL_ACTA1_base_edits_shared.vcf.gz
KOLF2-ARID2-A02,base_edits,ACTA1,3,final_intersections_var/KOLF2-ARID2-A02_ACTA1_base_edits_shared.vcf.gz
WTB_variants_PASS,base_edits,ACTA1,3,final_intersections_var/WTB_variants_PASS_ACTA1_base_edits_shared.vcf.gz
WTC_variants_PASS,base_edits,ACTA1,3,final_intersections_var/WTC_variants_PASS_ACTA1_base_edits_shared.vcf.gz
cN8-hNIL,CRISPRoff,ACTG1,2,final_intersections_var/cN8-hNIL_ACTG1_CRISPRoff_shared.vcf.gz
KOLF2-ARID2-A02,CRISPRoff,ACTG1,4,final_intersections_var/KOLF2-ARID2-A02_ACTG1_CRISPRoff_shared.vcf.gz
WTB_variants_PASS,CRISPRoff,ACTG1,3,final_intersections_var/WTB_variants_PASS_ACTG1_CRISPRoff_shared.vcf.gz
WTC_variants_PASS,CRISPRoff,ACTG1,2,final_intersections_var/WTC_variants_PASS_ACTG1_CRISPRoff_shared.vcf.gz
cN8-hNIL,indels,ACTG1,1,final_intersections_var/cN8-hNIL_ACTG1_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,ACTG1,1,final_intersections_var/KOLF2-ARID2-A02_ACTG1_indels_shared.vcf.gz
WTB_variants_PASS,indels,ACTG1,2,final_intersections_var/WTB_variants_PASS_ACTG1_indels_shared.vcf.gz
WTC_variants_PASS,indels,ACTG1,1,final_intersections_var/WTC_variants_PASS_ACTG1_indels_shared.vcf.gz
cN8-hNIL,base_edits,ACTG1,0,NA
KOLF2-ARID2-A02,base_edits,ACTG1,0,NA
WTB_variants_PASS,base_edits,ACTG1,1,final_intersections_var/WTB_variants_PASS_ACTG1_base_edits_shared.vcf.gz
WTC_variants_PASS,base_edits,ACTG1,0,NA
cN8-hNIL,CRISPRoff,ACTN1,0,NA
KOLF2-ARID2-A02,CRISPRoff,ACTN1,0,NA
WTB_variants_PASS,CRISPRoff,ACTN1,0,NA
WTC_variants_PASS,CRISPRoff,ACTN1,0,NA
cN8-hNIL,indels,ACTN1,0,NA
KOLF2-ARID2-A02,indels,ACTN1,0,NA
WTB_variants_PASS,indels,ACTN1,0,NA
WTC_variants_PASS,indels,ACTN1,0,NA
cN8-hNIL,base_edits,ACTN1,0,NA
KOLF2-ARID2-A02,base_edits,ACTN1,0,NA
WTB_variants_PASS,base_edits,ACTN1,0,NA
WTC_variants_PASS,base_edits,ACTN1,1,final_intersections_var/WTC_variants_PASS_ACTN1_base_edits_shared.vcf.gz
cN8-hNIL,CRISPRoff,ACVR1,0,NA
KOLF2-ARID2-A02,CRISPRoff,ACVR1,0,NA
WTB_variants_PASS,CRISPRoff,ACVR1,0,NA
WTC_variants_PASS,CRISPRoff,ACVR1,0,NA
cN8-hNIL,indels,ACVR1,1,final_intersections_var/cN8-hNIL_ACVR1_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,ACVR1,0,NA
WTB_variants_PASS,indels,ACVR1,0,NA
WTC_variants_PASS,indels,ACVR1,0,NA
cN8-hNIL,base_edits,ACVR1,0,NA
KOLF2-ARID2-A02,base_edits,ACVR1,0,NA
WTB_variants_PASS,base_edits,ACVR1,0,NA
WTC_variants_PASS,base_edits,ACVR1,0,NA
cN8-hNIL,CRISPRoff,ADAR,0,NA
KOLF2-ARID2-A02,CRISPRoff,ADAR,0,NA
WTB_variants_PASS,CRISPRoff,ADAR,0,NA
WTC_variants_PASS,CRISPRoff,ADAR,0,NA
cN8-hNIL,indels,ADAR,1,final_intersections_var/cN8-hNIL_ADAR_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,ADAR,0,NA
WTB_variants_PASS,indels,ADAR,0,NA
WTC_variants_PASS,indels,ADAR,0,NA
cN8-hNIL,base_edits,ADAR,1,final_intersections_var/cN8-hNIL_ADAR_base_edits_shared.vcf.gz
KOLF2-ARID2-A02,base_edits,ADAR,0,NA
WTB_variants_PASS,base_edits,ADAR,0,NA
WTC_variants_PASS,base_edits,ADAR,0,NA
cN8-hNIL,CRISPRoff,AFG3L2,0,NA
KOLF2-ARID2-A02,CRISPRoff,AFG3L2,0,NA
WTB_variants_PASS,CRISPRoff,AFG3L2,0,NA
WTC_variants_PASS,CRISPRoff,AFG3L2,0,NA
cN8-hNIL,indels,AFG3L2,0,NA
KOLF2-ARID2-A02,indels,AFG3L2,0,NA
WTB_variants_PASS,indels,AFG3L2,0,NA
WTC_variants_PASS,indels,AFG3L2,0,NA
cN8-hNIL,base_edits,AFG3L2,0,NA
KOLF2-ARID2-A02,base_edits,AFG3L2,0,NA
WTB_variants_PASS,base_edits,AFG3L2,0,NA
WTC_variants_PASS,base_edits,AFG3L2,0,NA
cN8-hNIL,CRISPRoff,AGO2,0,NA
KOLF2-ARID2-A02,CRISPRoff,AGO2,0,NA
WTB_variants_PASS,CRISPRoff,AGO2,0,NA
WTC_variants_PASS,CRISPRoff,AGO2,0,NA
cN8-hNIL,indels,AGO2,4,final_intersections_var/cN8-hNIL_AGO2_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,AGO2,1,final_intersections_var/KOLF2-ARID2-A02_AGO2_indels_shared.vcf.gz
WTB_variants_PASS,indels,AGO2,0,NA
WTC_variants_PASS,indels,AGO2,3,final_intersections_var/WTC_variants_PASS_AGO2_indels_shared.vcf.gz
cN8-hNIL,base_edits,AGO2,0,NA
KOLF2-ARID2-A02,base_edits,AGO2,0,NA
WTB_variants_PASS,base_edits,AGO2,0,NA
WTC_variants_PASS,base_edits,AGO2,0,NA
cN8-hNIL,CRISPRoff,AICDA,0,NA
KOLF2-ARID2-A02,CRISPRoff,AICDA,0,NA
WTB_variants_PASS,CRISPRoff,AICDA,0,NA
WTC_variants_PASS,CRISPRoff,AICDA,0,NA
cN8-hNIL,indels,AICDA,0,NA
KOLF2-ARID2-A02,indels,AICDA,0,NA
WTB_variants_PASS,indels,AICDA,0,NA
WTC_variants_PASS,indels,AICDA,1,final_intersections_var/WTC_variants_PASS_AICDA_indels_shared.vcf.gz
cN8-hNIL,base_edits,AICDA,0,NA
KOLF2-ARID2-A02,base_edits,AICDA,0,NA
WTB_variants_PASS,base_edits,AICDA,0,NA
WTC_variants_PASS,base_edits,AICDA,0,NA
cN8-hNIL,CRISPRoff,ALK,0,NA
KOLF2-ARID2-A02,CRISPRoff,ALK,0,NA
WTB_variants_PASS,CRISPRoff,ALK,0,NA
WTC_variants_PASS,CRISPRoff,ALK,0,NA
cN8-hNIL,indels,ALK,0,NA
KOLF2-ARID2-A02,indels,ALK,1,final_intersections_var/KOLF2-ARID2-A02_ALK_indels_shared.vcf.gz
WTB_variants_PASS,indels,ALK,0,NA
WTC_variants_PASS,indels,ALK,1,final_intersections_var/WTC_variants_PASS_ALK_indels_shared.vcf.gz
cN8-hNIL,base_edits,ALK,0,NA
KOLF2-ARID2-A02,base_edits,ALK,1,final_intersections_var/KOLF2-ARID2-A02_ALK_base_edits_shared.vcf.gz
WTB_variants_PASS,base_edits,ALK,0,NA
WTC_variants_PASS,base_edits,ALK,1,final_intersections_var/WTC_variants_PASS_ALK_base_edits_shared.vcf.gz
cN8-hNIL,CRISPRoff,ALPK3,0,NA
KOLF2-ARID2-A02,CRISPRoff,ALPK3,2,final_intersections_var/KOLF2-ARID2-A02_ALPK3_CRISPRoff_shared.vcf.gz
WTB_variants_PASS,CRISPRoff,ALPK3,0,NA
WTC_variants_PASS,CRISPRoff,ALPK3,0,NA
cN8-hNIL,indels,ALPK3,0,NA
KOLF2-ARID2-A02,indels,ALPK3,0,NA
WTB_variants_PASS,indels,ALPK3,0,NA
WTC_variants_PASS,indels,ALPK3,1,final_intersections_var/WTC_variants_PASS_ALPK3_indels_shared.vcf.gz
cN8-hNIL,base_edits,ALPK3,1,final_intersections_var/cN8-hNIL_ALPK3_base_edits_shared.vcf.gz
